19:37:36.921 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/aiden/softwares/gatk-4.1.4.1/gatk-package-4.1.4.1-local.jar!/com/intel/gkl/native/libgkl_compression.so
Apr 20, 2020 7:37:37 PM shaded.cloud_nio.com.google.auth.oauth2.ComputeEngineCredentials runningOnComputeEngine
INFO: Failed to detect whether we are running on Google Compute Engine.
19:37:37.090 INFO  SplitNCigarReads - ------------------------------------------------------------
19:37:37.091 INFO  SplitNCigarReads - The Genome Analysis Toolkit (GATK) v4.1.4.1
19:37:37.091 INFO  SplitNCigarReads - For support and documentation go to https://software.broadinstitute.org/gatk/
19:37:37.091 INFO  SplitNCigarReads - Executing as aiden@baderlab-Precision-Tower-5810 on Linux v5.3.0-40-generic amd64
19:37:37.091 INFO  SplitNCigarReads - Java runtime: OpenJDK 64-Bit Server VM v1.8.0_152-release-1056-b12
19:37:37.091 INFO  SplitNCigarReads - Start Date/Time: April 20, 2020 7:37:36 EDT PM
19:37:37.091 INFO  SplitNCigarReads - ------------------------------------------------------------
19:37:37.091 INFO  SplitNCigarReads - ------------------------------------------------------------
19:37:37.092 INFO  SplitNCigarReads - HTSJDK Version: 2.21.0
19:37:37.092 INFO  SplitNCigarReads - Picard Version: 2.21.2
19:37:37.092 INFO  SplitNCigarReads - HTSJDK Defaults.COMPRESSION_LEVEL : 2
19:37:37.092 INFO  SplitNCigarReads - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
19:37:37.092 INFO  SplitNCigarReads - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
19:37:37.092 INFO  SplitNCigarReads - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
19:37:37.092 INFO  SplitNCigarReads - Deflater: IntelDeflater
19:37:37.092 INFO  SplitNCigarReads - Inflater: IntelInflater
19:37:37.092 INFO  SplitNCigarReads - GCS max retries/reopens: 20
19:37:37.092 INFO  SplitNCigarReads - Requester pays: disabled
19:37:37.092 INFO  SplitNCigarReads - Initializing engine
19:37:37.351 INFO  SplitNCigarReads - Done initializing engine
19:37:37.378 INFO  ProgressMeter - Starting traversal
19:37:37.378 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
19:37:47.405 INFO  ProgressMeter -           1:22091455              0.2                428000        2561085.1
19:37:57.415 INFO  ProgressMeter -           1:32818877              0.3                790000        2365623.6
19:38:07.439 INFO  ProgressMeter -           1:45568972              0.5               1112000        2219560.9
19:38:17.440 INFO  ProgressMeter -           1:76120297              0.7               1465000        2194099.1
19:38:27.447 INFO  ProgressMeter -           1:94899497              0.8               1845000        2210948.9
19:38:37.449 INFO  ProgressMeter -          1:143982474              1.0               2207000        2204428.2
19:38:47.486 INFO  ProgressMeter -          1:153991205              1.2               2574000        2202887.0
19:38:57.491 INFO  ProgressMeter -          1:168244287              1.3               2897000        2169685.3
19:39:07.545 INFO  ProgressMeter -          1:203307775              1.5               3231000        2150034.4
19:39:17.548 INFO  ProgressMeter -          1:228148788              1.7               3564000        2134770.9
19:39:27.554 INFO  ProgressMeter -          10:15112736              1.8               3904000        2126052.9
19:39:37.580 INFO  ProgressMeter -          10:30125695              2.0               4182000        2087486.1
19:39:47.582 INFO  ProgressMeter -          10:69104498              2.2               4497000        2072302.5
19:39:57.603 INFO  ProgressMeter -          10:87966129              2.3               4836000        2069245.9
19:40:07.617 INFO  ProgressMeter -         10:112961204              2.5               5133000        2049933.8
19:40:17.783 INFO  ProgressMeter -           11:8684783              2.7               5568000        2082728.1
19:40:27.798 INFO  ProgressMeter -          11:33710187              2.8               5947000        2093768.3
19:40:37.829 INFO  ProgressMeter -          11:63590183              3.0               6272000        2085453.0
19:40:47.838 INFO  ProgressMeter -          11:65499195              3.2               6573000        2070671.0
19:40:57.843 INFO  ProgressMeter -          11:65499504              3.3               6775000        2027785.4
19:41:07.885 INFO  ProgressMeter -          11:65499604              3.5               6959000        1983497.0
19:41:17.984 INFO  ProgressMeter -          11:65503410              3.7               7207000        1960155.0
19:41:27.998 INFO  ProgressMeter -          11:75404825              3.8               7526000        1958026.2
19:41:38.015 INFO  ProgressMeter -         11:111640817              4.0               7833000        1953066.2
19:41:48.017 INFO  ProgressMeter -           12:5948877              4.2               8220000        1967770.4
19:41:58.034 INFO  ProgressMeter -          12:12723239              4.3               8541000        1966039.5
[bam_sort_core] merging from 45 files and 1 in-memory blocks...
19:42:08.049 INFO  ProgressMeter -          12:29701115              4.5               8865000        1965123.6
19:42:18.064 INFO  ProgressMeter -          12:53056045              4.7               9160000        1958059.9
19:42:28.088 INFO  ProgressMeter -          12:58908659              4.8               9500000        1960716.9
19:42:38.094 INFO  ProgressMeter -          12:92842555              5.0               9830000        1961319.0
19:42:48.114 INFO  ProgressMeter -         12:112406010              5.2              10150000        1959869.3
19:42:58.122 INFO  ProgressMeter -         12:125075398              5.3              10447000        1954268.8
19:43:08.142 INFO  ProgressMeter -          13:40329213              5.5              10813000        1961458.9
19:43:18.350 INFO  ProgressMeter -          13:45337384              5.7              11064000        1946904.7
19:43:28.365 INFO  ProgressMeter -         13:100247408              5.8              11437000        1955115.1
19:43:38.383 INFO  ProgressMeter -          14:35053445              6.0              11820000        1964515.7
19:43:48.387 INFO  ProgressMeter -          14:61507752              6.2              12146000        1964265.0
19:43:58.546 INFO  ProgressMeter -          14:90405672              6.4              12488000        1965747.4
19:44:08.553 INFO  ProgressMeter -         14:102085331              6.5              12768000        1958407.4
19:44:18.579 INFO  ProgressMeter -          15:40036278              6.7              13216000        1976465.7
19:44:28.629 INFO  ProgressMeter -          15:48499000              6.9              13499000        1969454.2
19:44:38.646 INFO  ProgressMeter -          15:66781652              7.0              13825000        1969055.3
19:44:48.654 INFO  ProgressMeter -          15:82372328              7.2              14146000        1968020.5
19:44:58.770 INFO  ProgressMeter -           16:2519913              7.4              14546000        1977290.0
19:45:08.798 INFO  ProgressMeter -          16:21432983              7.5              14863000        1975503.9
19:45:18.819 INFO  ProgressMeter -          16:31184255              7.7              15204000        1976937.5
19:45:28.827 INFO  ProgressMeter -          16:56936852              7.9              15558000        1980031.7
19:45:38.833 INFO  ProgressMeter -          16:85806775              8.0              15883000        1979375.0
19:45:48.850 INFO  ProgressMeter -           17:2638295              8.2              16189000        1976389.3
19:45:58.852 INFO  ProgressMeter -          17:17247040              8.4              16494000        1973462.2
19:46:08.871 INFO  ProgressMeter -          17:35521724              8.5              16810000        1971874.5
19:46:18.884 INFO  ProgressMeter -          17:42404096              8.7              17114000        1968989.8
19:46:28.910 INFO  ProgressMeter -          17:59758133              8.9              17432000        1967746.1
19:46:38.916 INFO  ProgressMeter -          17:75777575              9.0              17719000        1963186.3
19:46:48.999 INFO  ProgressMeter -            18:158547              9.2              18022000        1960258.9
19:46:59.030 INFO  ProgressMeter -          18:49592817              9.4              18419000        1967663.2
19:47:09.031 INFO  ProgressMeter -           19:3053062              9.5              18818000        1975114.3
19:47:19.036 INFO  ProgressMeter -          19:10350625              9.7              19108000        1971055.2
19:47:29.042 INFO  ProgressMeter -          19:15237479              9.9              19391000        1966423.5
19:47:39.066 INFO  ProgressMeter -          19:33814012             10.0              19696000        1964074.4
19:47:49.077 INFO  ProgressMeter -          19:41869174             10.2              20017000        1963416.6
19:47:59.104 INFO  ProgressMeter -          19:48966587             10.4              20293000        1958386.8
19:48:09.105 INFO  ProgressMeter -          19:55388010             10.5              20607000        1957206.2
